instrument,accuracy,f1_macro
A9999.XDCE,0.6921137918617213,0.2727401731233149
AG9999.XSGE,0.6364347146207975,0.2706036439509521
AL9999.XSGE,0.7695771828871654,0.28992883736274094
AO9999.XSGE,0.4644503761223004,0.38247923384293037
AP9999.XZCE,0.4471718249733191,0.3589086627777521
AU9999.XSGE,0.8789237668161435,0.3118536197295147
B9999.XDCE,0.49252136752136755,0.2535574069811842
BC9999.XINE,0.8284339925173704,0.3020559290655754
BR9999.XSGE,0.38310762651461155,0.3618339213253625
BU9999.XSGE,0.5334525939177102,0.24983969304072418
C9999.XDCE,0.6839955440029707,0.2707828004410144
CF9999.XZCE,0.8537859007832899,0.30704225352112674
CJ9999.XZCE,0.3944116066630844,0.3856668556843806
CS9999.XDCE,0.720504009163803,0.2811433928219008
CU9999.XSGE,0.8766217870257038,0.3114183842073224
CY9999.XZCE,0.8063063063063063,0.2975893599334996
EB9999.XDCE,0.5785739623980135,0.24874739961971384
EC9999.XINE,0.4704,0.33510124086540305
EG9999.XDCE,0.608416547788873,0.2714994641579736
FB9999.XDCE,0.6517509727626459,0.40289277023551734
FG9999.XZCE,0.3994965839626034,0.39830733814119057
FU9999.XSGE,0.5505014326647565,0.28034138818302695
HC9999.XSGE,0.5948275862068966,0.2820149086730783
I9999.XDCE,0.38954954954954957,0.3553949313099564
IC9999.CCFX,0.39659367396593675,0.3453200058438599
IF9999.CCFX,0.4871046228710462,0.28986244278333256
IH9999.CCFX,0.5211678832116788,0.2960119661358636
IM9999.CCFX,0.35912408759124087,0.35883885931418297
J9999.XDCE,0.3845335225257183,0.38071906122762017
JD9999.XDCE,0.4954276492738031,0.26309038616663805
JM9999.XDCE,0.3821225071225071,0.3581815834494872
L9999.XDCE,0.7419010323958705,0.2857246532977467
LC9999.GFEX,0.39095315024232635,0.30064633834754556
LH9999.XDCE,0.48542116630669546,0.30128200159486823
LU9999.XINE,0.5291800930898676,0.23669802875919685
M9999.XDCE,0.5077033321390183,0.25918093340651865
MA9999.XZCE,0.6288992470419505,0.28209769227498666
NI9999.XSGE,0.6257550132882339,0.2607992703330557
NR9999.XINE,0.39928698752228164,0.37554117258899034
OI9999.XZCE,0.532789790854307,0.27306358273985776
P9999.XDCE,0.3961661341853035,0.3595759737193242
PB9999.XSGE,0.7020268491708345,0.293525926188651
PF9999.XZCE,0.6196163590300399,0.2599192796662137
PG9999.XDCE,0.5114041339985744,0.27504470857834856
PK9999.XZCE,0.6029252437703142,0.26155947848773825
PP9999.XDCE,0.7881808472766109,0.29384829782998206
PX9999.XZCE,0.4951526032315978,0.29316133790219934
RB9999.XSGE,0.5671908506075768,0.2731253016670232
RM9999.XZCE,0.5419493038200642,0.3248116877149135
RR9999.XDCE,0.8599640933572711,0.30823680823680827
RS9999.XZCE,0.41935483870967744,0.4090058479532164
RU9999.XSGE,0.4662402274342573,0.3014290034751939
SA9999.XZCE,0.3583003240907454,0.35262751918392293
SC9999.XINE,0.6540954625810254,0.2651765040121067
SF9999.XZCE,0.5045527584359936,0.2985963981774709
SH9999.XZCE,0.46863270777479893,0.31758345445964814
SI9999.GFEX,0.400974025974026,0.33007544899742963
SM9999.XZCE,0.6073752711496746,0.2837167241679384
SN9999.XSGE,0.6716670699249939,0.2928683834227982
SP9999.XSGE,0.6409788166544923,0.2847225561195332
SR9999.XZCE,0.7120456165359943,0.27726894254787676
SS9999.XSGE,0.7243243243243244,0.2800856978627789
T9999.CCFX,0.9928154467894028,0.3321315908066697
TA9999.XZCE,0.6582824290334172,0.2755420854741936
TF9999.CCFX,0.999548532731377,0.4998871076992549
TL9999.CCFX,0.78584229390681,0.30397761898512726
TS9999.CCFX,1.0,1.0
UR9999.XZCE,0.36862106406080347,0.36273761722600534
V9999.XDCE,0.5876692801140413,0.25682242886543966
WR9999.XSGE,0.4358974358974359,0.4254293103217899
Y9999.XDCE,0.47849271240668323,0.30992518887273396
ZN9999.XSGE,0.6764275256222547,0.269980913754026
