instrument,accuracy,precision_macro,recall_macro,f1_macro,num_samples
A9999.XDCE,0.6931083991385499,0.2310361330461833,0.3333333333333333,0.2729135750123666,2786
AG9999.XSGE,0.6345365853658537,0.33600816112608567,0.33651203317966516,0.2679353514273876,5125
AL9999.XSGE,0.7685971043434848,0.2561990347811616,0.3333333333333333,0.2897200658668549,4006
AO9999.XSGE,0.4518159806295399,0.37295603431098373,0.37039457434065465,0.29917076729575587,4130
AP9999.XZCE,0.46255974508762615,0.4624291858552913,0.39903796481180615,0.34017254864669527,1883
AU9999.XSGE,0.878941222265473,0.29298040742182435,0.3333333333333333,0.31185691595884263,5138
B9999.XDCE,0.49307774227902024,0.5541268376293756,0.3410360370588971,0.2424538003991549,2817
BB9999.XDCE,0.2857142857142857,0.09523809523809523,0.3333333333333333,0.14814814814814817,7
BC9999.XINE,0.8280458544388163,0.27601528481293874,0.3333333333333333,0.30197851344125226,3751
BR9999.XSGE,0.3847246891651865,0.308283692243726,0.3522755720579929,0.27234391379245876,2815
BU9999.XSGE,0.5374465049928673,0.3061364813088951,0.3370917344015181,0.24437224821504455,2804
C9999.XDCE,0.6839378238341969,0.3532850779510022,0.3350365990990991,0.2757886605346364,2702
CF9999.XZCE,0.8527881040892193,0.28426270136307313,0.3333333333333333,0.306848582129481,2690
CJ9999.XZCE,0.3390374331550802,0.35470358421178094,0.3443234566579145,0.2382106652571054,1870
CS9999.XDCE,0.7161339421613394,0.2952903170959789,0.3337234308262893,0.28215340256023735,2628
CU9999.XSGE,0.8766487542745481,0.29221625142484936,0.3333333333333333,0.31142348908846373,4094
CY9999.XZCE,0.8061148396718867,0.26870494655729554,0.3333333333333333,0.29755023396641894,1341
EB9999.XDCE,0.5770862800565771,0.19249823071479122,0.3329253365973072,0.24394618834080717,2828
EC9999.XINE,0.43895966029723993,0.3684210526315789,0.3337528273498142,0.2048169650518079,1884
EG9999.XDCE,0.6061144685389264,0.3507085693015341,0.33929679521093625,0.26646701404882217,2813
FB9999.XDCE,0.638623326959847,0.6710351522583281,0.38261136275441815,0.346801292509812,523
FG9999.XZCE,0.36845878136200716,0.36537918618053017,0.3668852678524581,0.2980676387480647,2790
FU9999.XSGE,0.5565869332381292,0.3981347531980443,0.34374553757625886,0.261267705265456,2801
HC9999.XSGE,0.5968492660221983,0.3488323204525475,0.3410456420835482,0.26804626532887404,2793
I9999.XDCE,0.4048132183908046,0.35141785389208113,0.373412905754062,0.29065892127794457,2784
IC9999.CCFX,0.4103682170542636,0.4866677529504107,0.37314991071035647,0.31792194168623794,2064
IF9999.CCFX,0.4888565891472868,0.44785966346831607,0.3511054549387613,0.27296798505676373,2064
IH9999.CCFX,0.5092054263565892,0.41526622645630656,0.3447442811191135,0.2680527653010299,2064
IM9999.CCFX,0.376453488372093,0.42663079941547394,0.36876145092285495,0.3057352502623236,2064
J9999.XDCE,0.3698727015558699,0.40239508775605776,0.36806955479332143,0.2855003042159674,2828
JD9999.XDCE,0.4919700214132762,0.2752873788351636,0.34316309118545046,0.2537552742616033,1868
JM9999.XDCE,0.35605253816116433,0.37349105878501954,0.3679721337447857,0.2895215825865555,2817
L9999.XDCE,0.741305890702626,0.247101963567542,0.3333333333333333,0.2838122410162353,2818
LC9999.GFEX,0.40728831725616294,0.26376821289892766,0.356436617952149,0.2755346964445015,1866
LH9999.XDCE,0.4836109618484686,0.2906923499993605,0.34293649396624226,0.24967547711768442,1861
LU9999.XINE,0.5299785867237687,0.17684887459807075,0.3333333333333333,0.2310924369747899,2802
M9999.XDCE,0.5032142857142857,0.5804413906208027,0.3370427093871611,0.24435459453578326,2800
MA9999.XZCE,0.6211579699785561,0.41334065856563296,0.34447884644123766,0.2882221717132904,2798
NI9999.XSGE,0.6251205400192864,0.2791848839827833,0.33381258585035245,0.25977158215158797,4148
NR9999.XINE,0.3798862828713575,0.3052293990843745,0.3514016454822884,0.26133444115180454,2814
OI9999.XZCE,0.5279151943462898,0.41463312368972743,0.3515724866132847,0.2940223482972783,2830
P9999.XDCE,0.4002123142250531,0.3589225589225589,0.3657435326642644,0.2808531482538913,2826
PB9999.XSGE,0.7011554621848739,0.38989471207576026,0.3399840102721888,0.28926452732694,3808
PF9999.XZCE,0.6194083694083694,0.20661853188929002,0.33313930927435004,0.255050505050505,2772
PG9999.XDCE,0.5087033747779751,0.28388598022105876,0.3475489332158402,0.2639952578299253,2815
PK9999.XZCE,0.6026954177897574,0.6903882489181447,0.3453866836948998,0.27869281844531474,1855
PP9999.XDCE,0.7874378992193045,0.2624792997397682,0.3333333333333333,0.29369333598041164,2818
PX9999.XZCE,0.484251968503937,0.2695024792694049,0.34043430624231213,0.2414408376896037,2794
RB9999.XSGE,0.571072319201995,0.32029133439659757,0.34210648148148154,0.2654689400955131,2807
RM9999.XZCE,0.5145907473309609,0.36699388967330443,0.36165743415268875,0.3203016580730213,2810
RR9999.XDCE,0.8621908127208481,0.287396937573616,0.3333333333333333,0.30866540164452877,566
RS9999.XZCE,0.3627450980392157,0.44345238095238093,0.3742989318758261,0.31096886360044257,102
RU9999.XSGE,0.463336875664187,0.2583228229661509,0.3426583683514042,0.2502248235148485,2823
SA9999.XZCE,0.3603732950466619,0.37231462354133077,0.3452841551858377,0.27270034373830027,2786
SC9999.XINE,0.6547058823529411,0.21827809374387133,0.33323353293413177,0.26377532883043014,5100
SF9999.XZCE,0.5079957356076759,0.37927008022779773,0.3668180314405715,0.2988999667489008,1876
SH9999.XZCE,0.4567769477054429,0.38459026036345617,0.3726558340065363,0.30784443647841986,1874
SI9999.GFEX,0.4081852450188476,0.4420473124872267,0.3546677721414899,0.26354571131294685,1857
SM9999.XZCE,0.5974096060442525,0.6083206494165397,0.33606699983843996,0.26118434102035815,1853
SN9999.XSGE,0.6755190729116369,0.3383875638608857,0.3422362385485847,0.291667711639603,4142
SP9999.XSGE,0.646887513651256,0.3936012608353034,0.35004434009550556,0.29468608186382134,2747
SR9999.XZCE,0.7108348134991119,0.3092857142857143,0.3350201398154657,0.28219285087939255,2815
SS9999.XSGE,0.7239148018333783,0.24137001078748652,0.3333333333333333,0.2799937431565775,3709
T9999.CCFX,0.9928443649373881,0.33094812164579607,0.3333333333333333,0.33213644524236985,2236
TA9999.XZCE,0.6565186246418339,0.32127618786799944,0.34412113307231834,0.28993690890983814,2792
TF9999.CCFX,0.9995503597122302,0.4997751798561151,0.5,0.499887564650326,2224
TL9999.CCFX,0.7831325301204819,0.2610441767068273,0.3333333333333333,0.2927927927927928,2241
TS9999.CCFX,1.0,1.0,1.0,1.0,1490
UR9999.XZCE,0.34035656401944897,0.5789701346573385,0.35765745525260323,0.25671943481729814,1851
V9999.XDCE,0.5857904085257549,0.35235952851476543,0.33630597935360956,0.25492716270084503,2815
WR9999.XSGE,0.3939393939393939,0.2782017154687962,0.3743371212121212,0.3003990976921742,165
Y9999.XDCE,0.49149539333805814,0.4199816836855506,0.34975206304167555,0.26395861573142976,2822
ZN9999.XSGE,0.6764061358655953,0.22557856272838003,0.3333333333333333,0.26906872003486854,4107
